UF,MG
Cidade,BARROSO
Nome Posto,BARROSO
Latitude,-21.18722222222222
Longitude,-43.980000000000004
Codigo,2143006
Qtd. Anos,79
Ano,Maxima
1941,59
1942,75
1943,66.5
1944,91.6
1945,71.6
1946,160
1947,66
1948,64.6
1949,77
1950,70.8
1951,50.8
1952,64.8
1953,90.2
1954,69.6
1955,94
1956,130
1957,71
1958,55
1959,82
1960,44.2
1961,49.6
1962,50.1
1963,54.2
1964,70.5
1965,75.3
1966,35.1
1967,49.2
1968,55.3
1969,55
1970,80.2
1971,85.3
1972,82.1
1973,98.2
1974,64.3
1975,76
1976,78.8
1977,44
1978,61
1979,85
1980,116.4
1981,114
1982,79.1
1983,61
1984,103
1985,68.4
1986,113.6
1987,96.6
1988,78.4
1989,67.2
1990,62
1991,91.3
1992,110.9
1993,72.3
1994,64.1
1995,91.5
1996,87.6
1997,82.5
1998,116.1
1999,55.1
2000,77.1
2001,98
2002,61.1
2003,57.5
2004,94.6
2005,115.5
2006,50.3
2007,83.3
2008,78.3
2009,132.3
2010,95.7
2011,58.2
2012,152.7
2013,69.6
2014,54.6
2015,78.5
2016,95
2017,75.1
2018,67
2019,66.6
