UF,MG
Cidade,CONSOLACAO
Nome Posto,BAIRRO DO ANALDINO
Latitude,-22.565555555555555
Longitude,-45.88333333333333
Codigo,2245084
Qtd. Anos,54
Ano,Maxima
1966,16
1967,35
1968,72
1969,6.1
1970,12.7
1971,11.5
1972,47.5
1973,90.5
1974,64.3
1975,49
1976,80.1
1977,62.8
1978,77
1979,76.4
1980,80.4
1981,90.4
1982,90.2
1983,110.2
1984,68.6
1985,137.8
1986,81.3
1987,93.6
1988,92.4
1989,55.6
1990,43.6
1991,55.8
1992,48.9
1993,55.9
1994,47.6
1995,112.8
1996,53.8
1997,70.3
1998,57.5
1999,72.4
2000,98.8
2001,63.4
2002,80.3
2003,53.6
2004,81.6
2005,79.8
2006,80.9
2007,107
2008,48.8
2009,120.8
2010,90.6
2011,68.7
2012,58.7
2013,53.2
2014,41.2
2015,51.7
2016,66.6
2017,52.6
2018,42.6
2019,40.2
