UF,MG
Cidade,TIRADENTES
Nome Posto,PORTO DO ELVAS
Latitude,-21.165
Longitude,-44.135555555555555
Codigo,2144009
Qtd. Anos,79
Ano,Maxima
1941,70
1942,75.6
1943,76.8
1944,108
1945,64.8
1946,189.2
1947,81.3
1948,70.4
1949,80.4
1950,100.4
1951,80.4
1952,70.4
1953,60.5
1954,120.1
1955,80.4
1956,80.6
1957,75.6
1958,90.2
1959,40.2
1960,30.6
1961,55.4
1962,36.2
1963,32.2
1964,63.2
1965,30.2
1966,26.2
1967,81.2
1968,66.2
1969,68.5
1970,98.4
1971,87.6
1972,48.2
1973,95.6
1974,55.7
1975,64.4
1976,55.7
1977,68.2
1978,74
1979,64.8
1980,79.2
1981,100.1
1982,142
1983,78.4
1984,76.2
1985,77.2
1986,82.4
1987,73
1988,85.9
1989,84.6
1990,70.1
1991,75
1992,129.1
1993,86.3
1994,58.4
1995,89.7
1996,128.3
1997,108.9
1998,91.3
1999,87.9
2000,90.6
2001,69.1
2002,76.9
2003,88.2
2004,92.5
2005,92.4
2006,145.9
2007,60
2008,78.1
2009,62.6
2010,120.2
2011,180.6
2012,152.8
2013,46.4
2014,38.7
2015,38.9
2016,80.9
2017,92.7
2018,62.2
2019,50.5
