UF,MG
Cidade,JUATUBA
Nome Posto,PONTE NOVA DO PARAOPEBA
Latitude,-19.948888888888888
Longitude,-44.47222222222222
Codigo,1944004
Qtd. Anos,79
Ano,Maxima
1941,48.2
1942,68.8
1943,67
1944,54.2
1945,67.3
1946,65
1947,70.2
1948,113.2
1949,79.2
1950,66.4
1951,65.1
1952,69.4
1953,115
1954,67.3
1955,102.2
1956,58.3
1957,69.3
1958,44.1
1959,64.2
1960,54.4
1961,83.4
1962,76.4
1963,56.2
1964,159.4
1965,62.3
1966,78.3
1967,74.3
1968,101.6
1969,64.4
1970,85.6
1971,70.3
1972,53
1973,81.3
1974,85.3
1975,66.3
1976,91.3
1977,44.4
1978,72.8
1979,100
1980,78.4
1981,83.4
1982,66.6
1983,99
1984,133
1985,113.6
1986,101
1987,109
1988,88
1989,99.6
1990,62
1991,94
1992,101.6
1993,72
1994,84.8
1995,114.4
1996,89
1997,95.8
1998,65.4
1999,61.2
2000,114.8
2001,50
2002,65
2003,82.4
2004,101.8
2005,88.8
2006,70.2
2007,69.4
2008,72.5
2009,87.8
2010,51.1
2011,97.1
2012,76
2013,77.1
2014,84.3
2015,60.3
2016,115.7
2017,63.1
2018,111.2
2019,71.3
