UF,MG
Cidade,ABAETE
Nome Posto,PORTO DAS ANDORINHAS
Latitude,-19.27861111111111
Longitude,-45.28583333333333
Codigo,1945038
Qtd. Anos,37
Ano,Maxima
1983,83.1
1984,73.4
1985,80.4
1986,96.2
1987,80.6
1988,64.2
1989,59.6
1990,77
1991,67.6
1992,160
1993,67.4
1994,72
1995,134.6
1996,81.4
1997,66.8
1998,56.2
1999,72.6
2000,74.8
2001,65
2002,114.4
2003,78.5
2004,172.5
2005,131
2006,52.5
2007,64.5
2008,91.6
2009,76
2010,57.9
2011,70.9
2012,63
2013,70.7
2014,56.5
2015,85.2
2016,53.7
2017,48.3
2018,68.2
2019,103.7
