UF,MG
Cidade,SANTA JULIANA
Nome Posto,ZELANDIA
Latitude,-19.5375
Longitude,-47.45305555555556
Codigo,1947009
Qtd. Anos,45
Ano,Maxima
1975,68.4
1976,130.6
1977,66.5
1978,222
1979,232
1980,210.5
1981,264
1982,168.2
1983,112.2
1984,59.3
1985,109.7
1986,56.8
1987,63.4
1988,71.4
1989,105.4
1990,101.6
1991,72.4
1992,94.6
1993,90
1994,45.9
1995,61.3
1996,98.9
1997,68.3
1998,74.7
1999,96.5
2000,125.8
2001,71.2
2002,123.8
2003,43
2004,112.8
2005,115.1
2006,116
2007,80
2008,115.2
2009,75.3
2010,82.7
2011,70.5
2012,75.3
2013,67.3
2014,84.5
2015,98.2
2016,67.2
2017,72.1
2018,90.2
2019,77.2
