UF,MG
Cidade,RUBELITA
Nome Posto,RUBELITA
Latitude,-16.411944444444444
Longitude,-42.26833333333333
Codigo,1642008
Qtd. Anos,41
Ano,Maxima
1947,46
1948,85.5
1949,108.2
1950,56.8
1951,52.3
1952,62.2
1953,66.6
1954,61.8
1955,83.6
1956,92.8
1957,53.3
1958,59.1
1959,55.6
1960,58.1
1961,56.3
1962,56.4
1963,58.6
1964,62.2
1965,69.4
1966,30.8
1967,45.2
2000,120.9
2001,83.3
2002,59.4
2003,40
2004,102.7
2005,69
2006,110
2007,82.5
2008,54.8
2009,76.5
2010,60.1
2011,88.6
2012,53
2013,66.5
2014,85.5
2015,35
2016,51.2
2017,77.1
2018,58.4
2019,56.3
