UF,MG
Cidade,IRAI DE MINAS
Nome Posto,IRAI DE MINAS
Latitude,-18.981944444444444
Longitude,-47.4575
Codigo,1847010
Qtd. Anos,54
Ano,Maxima
1966,58.6
1967,79.6
1968,59.7
1969,70.8
1970,76.6
1971,58.7
1972,77.2
1973,63.8
1974,56.2
1975,43.5
1976,65.2
1977,41
1978,94
1979,54.3
1980,31
1981,38.4
1982,71
1983,82.9
1984,42
1985,70.1
1986,94
1987,61.3
1988,98.6
1989,76.3
1990,45.6
1991,68.6
1992,80.2
1993,110
1994,90.2
1995,47
1996,69
1997,83.3
1998,72.4
1999,73.2
2000,83.1
2001,80
2002,67.6
2003,95.2
2004,91.2
2005,81.8
2006,64.5
2007,84.5
2008,55.4
2009,68
2010,55.7
2011,111.9
2012,89
2013,72
2014,58.9
2015,72
2016,81
2017,57.1
2018,86.6
2019,91.1
