UF,MG
Cidade,PATOS DE MINAS
Nome Posto,ROCINHA
Latitude,-18.37361111111111
Longitude,-46.915
Codigo,1846019
Qtd. Anos,43
Ano,Maxima
1977,33.4
1978,153.9
1979,90.4
1980,71.8
1981,82.1
1982,93.6
1983,79
1984,54.1
1985,100.6
1986,57.8
1987,81
1988,67.4
1989,90
1990,58
1991,104
1992,112.5
1993,97
1994,89.3
1995,59
1996,86.3
1997,76.7
1998,81.2
1999,58.4
2000,73.9
2001,87
2002,51.6
2003,83.9
2004,75.2
2005,64.9
2006,74.8
2007,83.9
2008,136.6
2009,186.1
2010,60.3
2011,86.1
2012,98
2013,64.9
2014,66.1
2015,79.3
2016,62.1
2017,60
2018,106.8
2019,58.8
