UF,MG
Cidade,PIRAPORA
Nome Posto,PIRAPORA
Latitude,-17.35
Longitude,-44.95
Codigo,1744025
Qtd. Anos,45
Ano,Maxima
1961,26
1962,42
1963,61
1964,43
1965,62
1966,56
1967,70
1968,51
1969,60
1970,55
1976,69.3
1977,89.2
1978,60.8
1979,65
1980,163
1981,59.8
1982,70.7
1983,143
1984,81.8
1985,56.4
1990,54.7
1991,60.1
1992,115.2
1993,67.8
1994,70.7
1995,52
1996,83.2
1997,77.4
1998,77.6
1999,140.3
2000,98.6
2001,72.9
2002,77
2003,113.6
2004,118
2005,155.2
2006,80.1
2007,55.9
2008,54.1
2009,79.8
2010,60.4
2011,75.2
2012,63.2
2013,71.7
2014,51.4
