UF,MG
Cidade,TIROS
Nome Posto,LAGOA DO GOUVEIA
Latitude,-18.841388888888886
Longitude,-45.85138888888889
Codigo,1845004
Qtd. Anos,45
Ano,Maxima
1975,86.4
1976,65
1977,68.2
1978,86
1979,96
1980,62
1981,67.2
1982,99
1983,143
1984,72.3
1985,80
1986,70
1987,65
1988,105.2
1989,78.2
1990,64.4
1991,72.1
1992,91.1
1993,86
1994,104.1
1995,89.3
1996,52.1
1997,64.3
1998,56.5
1999,102.4
2000,107
2001,104.5
2002,106.1
2003,100
2004,84.9
2005,103.4
2006,92
2007,55.5
2008,135.7
2009,80.3
2010,64.2
2011,96.8
2012,77.3
2013,135
2014,102.6
2015,53.3
2016,65
2017,88.9
2018,53.5
2019,67.3
