UF,MG
Cidade,SANTA FE DE MINAS
Nome Posto,PORTO ALEGRE
Latitude,-16.90888888888889
Longitude,-45.37861111111111
Codigo,1645007
Qtd. Anos,67
Ano,Maxima
1952,4
1953,64.4
1954,94.2
1955,62
1956,75.8
1957,88.5
1958,89
1959,58.9
1960,58.7
1961,140.8
1962,48
1963,80.5
1964,96.7
1965,105.8
1967,77.2
1968,64.3
1969,70.5
1970,37.2
1971,128.4
1972,77
1973,73.2
1974,66
1975,74.2
1976,76
1977,93.2
1978,70
1979,88
1980,78
1981,89
1982,79
1983,75
1984,90
1985,112.8
1986,132.3
1987,89
1988,61.7
1989,25.2
1990,79
1991,106.7
1992,90
1993,43.2
1994,80
1995,84.3
1996,77.7
1997,100
1998,72
1999,135
2000,74.1
2001,58.3
2002,113.9
2003,104.1
2004,133.1
2005,114.6
2006,84.3
2007,68.2
2008,61.6
2009,86.7
2010,89.2
2011,73.7
2012,14.5
2013,51.5
2014,90
2015,45.3
2016,57.1
2017,32.5
2018,50.6
2019,35.8
