UF,MG
Cidade,MARIA DA FE
Nome Posto,MARIA DA FE
Latitude,-22.314722222222223
Longitude,-45.37305555555555
Codigo,2245088
Qtd. Anos,46
Ano,Maxima
1974,48.2
1975,121.8
1976,81
1977,56.5
1978,74
1979,72.6
1980,80.1
1981,90
1982,75
1983,65.4
1984,71.8
1985,57.5
1986,86.4
1987,79
1988,65
1989,43.8
1990,62.2
1991,117
1992,66.6
1993,46
1994,66.2
1995,100
1996,62.4
1997,45
1998,94
1999,40.4
2000,146.7
2001,62.3
2002,95.2
2003,70.3
2004,75.7
2005,67.6
2006,93.7
2007,63.7
2008,79.9
2009,69.5
2010,71.9
2011,77.4
2012,59.5
2013,67
2014,42.4
2015,77.9
2016,83.5
2017,85.2
2018,64.3
2019,60.2
