UF,MG
Cidade,CONGONHAS
Nome Posto,CONGONHAS - LINIGRAFO
Latitude,-20.521944444444443
Longitude,-43.830000000000005
Codigo,2043013
Qtd. Anos,79
Ano,Maxima
1941,42.4
1942,51.6
1943,90.2
1944,45.6
1945,47
1946,53.6
1947,62.6
1948,108.2
1949,56.8
1950,54.8
1951,102.2
1952,96.6
1953,60.4
1954,110.4
1955,68.2
1956,54.2
1957,71.2
1958,52.6
1959,65.8
1960,50.8
1961,97.6
1962,71.4
1963,37.8
1964,102.4
1965,60.8
1966,79.6
1967,88.4
1968,82
1969,83.4
1970,97.4
1971,82.6
1972,68.2
1973,69.8
1974,62.2
1975,74.6
1976,67.2
1977,88.6
1978,62.2
1979,61.8
1980,63.4
1981,61.8
1982,63.4
1983,143
1984,97.2
1985,54.1
1986,85.2
1987,91.8
1988,52.1
1989,32.1
1990,46.2
1991,35
1992,41.5
1993,48.6
1994,51
1995,55.3
1996,89
1997,54.6
1998,57.8
1999,76.1
2000,110.1
2001,52.2
2002,54.9
2003,79.4
2004,96.8
2005,81.2
2006,58.4
2007,64.9
2008,169.5
2009,96
2010,58.3
2011,80.3
2012,47.1
2013,85.3
2014,47.8
2015,90.1
2016,86.6
2017,65.2
2018,53.9
2019,45.3
