UF,MG
Cidade,POCRANE
Nome Posto,ASSARAI - MONTANTE
Latitude,-19.59472222222222
Longitude,-41.45805555555556
Codigo,1941006
Qtd. Anos,74
Ano,Maxima
1946,57
1947,63
1948,92.4
1949,70.2
1950,60.2
1951,76.8
1952,61.6
1953,58.2
1954,92.8
1955,62.6
1956,60.8
1957,88.8
1958,67.4
1959,85.8
1960,80.2
1961,70.8
1962,98.4
1963,51.7
1964,93.7
1965,82.8
1966,51
1967,90.9
1968,92.2
1969,61.2
1970,115.6
1971,66.2
1972,77.2
1973,100.9
1974,53.2
1975,59.4
1976,72
1977,66.8
1978,42.2
1979,77.5
1980,91.8
1981,81.4
1982,106.5
1983,58.7
1984,139.4
1985,89
1986,75
1987,100.6
1988,65
1989,52
1990,48.9
1991,89.9
1992,83.9
1993,69.8
1994,94
1995,61.2
1996,77.3
1997,125
1998,71.6
1999,85
2000,67.6
2001,85
2002,66.8
2003,71.6
2004,145
2005,79.8
2006,64.6
2007,124.8
2008,48.8
2009,132.8
2010,70.4
2011,77.6
2012,90
2013,156.6
2014,114
2015,75
2016,114.1
2017,50
2018,86.5
2019,80
