UF,MG
Cidade,ARCOS
Nome Posto,ARCOS (COPASA)
Latitude,-20.294722222222223
Longitude,-45.54277777777778
Codigo,2045010
Qtd. Anos,46
Ano,Maxima
1974,12
1975,98.2
1976,58.6
1977,86.5
1978,84.3
1979,67
1980,78.4
1981,75
1982,88
1983,109
1984,58.2
1985,146.2
1986,108
1987,61
1988,40
1989,76.4
1990,56
1991,93
1992,146.4
1993,59.6
1994,96.4
1995,96
1996,84
1997,136
1998,86.6
1999,117.6
2000,72.5
2001,101.1
2002,59.5
2003,71.6
2004,140.5
2005,44.9
2006,57.8
2007,76.5
2008,114
2009,131.4
2010,60.8
2011,80
2012,113.8
2013,112.9
2014,67.5
2015,58
2016,58.6
2017,81
2018,69.5
2019,79.3
