UF,MG
Cidade,TUPACIGUARA
Nome Posto,FAZENDA CACHOEIRA
Latitude,-18.698333333333334
Longitude,-48.78194444444444
Codigo,1848004
Qtd. Anos,53
Ano,Maxima
1967,25
1968,125
1969,75
1970,42.5
1971,100
1972,94.6
1973,84.8
1974,88.1
1975,82.1
1976,77.8
1977,70.2
1978,70.2
1979,80.4
1980,105
1981,83.2
1982,101.2
1983,123.8
1984,57.2
1985,105.9
1986,85.4
1987,80.4
1988,92.4
1989,103.2
1990,63.8
1991,110.2
1992,83.6
1993,126.4
1994,126.4
1995,112.4
1996,83.2
1997,64.2
1998,87.2
1999,52.3
2000,62.2
2001,53.1
2002,71.3
2003,79.5
2004,119.6
2005,58.5
2006,84.6
2007,71.5
2008,87.3
2009,102.8
2010,57.3
2011,103.3
2012,84
2013,95.5
2014,51
2015,84
2016,96
2017,76
2018,140
2019,67
