UF,MG
Cidade,LUMINARIAS
Nome Posto,LUMINARIAS
Latitude,-21.506944444444443
Longitude,-44.91555555555556
Codigo,2144006
Qtd. Anos,79
Ano,Maxima
1941,57
1942,89.1
1943,77
1944,57.1
1945,141
1946,54.2
1947,73
1948,90.3
1949,103
1950,64
1951,71
1952,83
1953,63.3
1954,53.3
1955,67.1
1956,75
1957,104
1958,71.1
1959,68.1
1960,92.3
1961,114.2
1962,95.2
1963,44
1964,94
1965,68.4
1966,69
1967,52.2
1968,74.4
1969,64.2
1970,96.6
1971,47.2
1972,117.8
1973,83.8
1974,59.8
1975,87.9
1976,63.2
1977,51.8
1978,85.1
1979,61.8
1980,75.6
1981,119.2
1982,68.7
1983,99
1984,60.8
1985,88.6
1986,100.6
1987,80.9
1988,74.2
1989,46.2
1990,146.4
1991,53.3
1992,100
1993,41.2
1994,58.2
1995,76
1996,65
1997,68
1998,70.4
1999,62.3
2000,69.5
2001,70.3
2002,61.7
2003,56.8
2004,52.2
2005,63.6
2006,83.6
2007,98.6
2008,56.6
2009,113.6
2010,83.4
2011,66.3
2012,112.7
2013,68.7
2014,61.7
2015,70.1
2016,69.9
2017,74.4
2018,69.9
2019,50.7
