UF,MG
Cidade,MONTALVANIA
Nome Posto,CAPITANEA
Latitude,-14.431111111111111
Longitude,-44.48166666666667
Codigo,1444001
Qtd. Anos,68
Ano,Maxima
1952,56
1953,46
1954,80.1
1955,52.2
1956,53.6
1957,79.3
1958,96.6
1959,72.5
1960,78.7
1961,75.7
1962,74.2
1963,179.9
1964,83.2
1965,61.9
1966,106.8
1967,75.5
1968,67.4
1969,80
1970,90
1971,114.6
1972,111.9
1973,53
1974,92
1975,77
1976,68.4
1977,86.4
1978,81.5
1979,91.5
1980,76.8
1981,115
1982,51.4
1983,93
1984,82
1985,73
1986,72.8
1987,93
1988,70.4
1989,125
1990,56
1991,80.1
1992,74
1993,64.3
1994,81.8
1995,70
1996,83.2
1997,61.5
1998,59
1999,94
2000,85
2001,57.7
2002,63
2003,48
2004,88
2005,134.5
2006,73.5
2007,160
2008,79.4
2009,77.8
2010,72
2011,63
2012,86.7
2013,80.8
2014,57.2
2015,107.6
2016,151.2
2017,48
2018,89.2
2019,58.5
