UF,MG
Cidade,ARAGUARI
Nome Posto,ARAGUARI
Latitude,-18.65111111111111
Longitude,-48.20916666666667
Codigo,1848010
Qtd. Anos,46
Ano,Maxima
1974,49.8
1975,60
1976,63
1977,70
1978,96
1979,133.1
1980,106.1
1981,130.4
1982,91.3
1983,93.8
1984,64.3
1985,65.1
1986,118
1987,101.2
1988,70
1989,76
1990,56.5
1991,110
1992,119
1993,69
1994,88
1995,75
1996,203.5
1997,92.4
1998,50
1999,84.4
2000,110.5
2001,79.4
2002,72.3
2003,65.3
2004,96.3
2005,124.7
2006,68
2007,66
2008,99.9
2009,95.2
2010,71.1
2011,85.7
2012,101.7
2013,83
2014,84.3
2015,63.5
2016,46.7
2017,77.4
2018,97.5
2019,86.4
