UF,MG
Cidade,MATHIAS LOBATO
Nome Posto,VILA MATIAS - MONTANTE
Latitude,-18.57472222222222
Longitude,-41.91777777777777
Codigo,1841001
Qtd. Anos,80
Ano,Maxima
1940,35.2
1941,113.6
1942,121.2
1943,95.2
1944,97.6
1945,113.4
1946,83.6
1947,78.2
1948,66.6
1949,63.8
1950,99.2
1951,74.2
1952,153.8
1953,59.4
1954,78.8
1955,88.2
1956,108.2
1957,94.4
1958,78.6
1959,57.8
1960,83.3
1961,44.2
1962,65.8
1963,53.8
1964,59.8
1965,52
1966,80
1967,75
1968,75.2
1969,80
1970,80
1971,81
1972,133.3
1973,125
1974,93
1975,95.8
1976,97.2
1977,70.2
1978,100
1979,91
1980,111.4
1981,81
1982,110.8
1983,114.4
1984,136.2
1985,75
1986,108
1987,63.6
1988,45.6
1989,70.6
1990,78.9
1991,111.6
1992,93.2
1993,99.8
1994,54.8
1995,97
1996,57.3
1997,97.4
1998,62.4
1999,60.6
2000,69.8
2001,98.6
2002,166.6
2003,80
2004,70.8
2005,87.4
2006,81.6
2007,58.4
2008,55.6
2009,96.6
2010,153.5
2011,162.2
2012,113.1
2013,153.6
2014,46.9
2015,71.2
2016,76.6
2017,60.2
2018,79
2019,56.5
