UF,MG
Cidade,CONCEICAO DAS ALAGOAS
Nome Posto,UHE PORTO COLOMBIA RIO UBERABA
Latitude,-19.909444444444443
Longitude,-48.39111111111111
Codigo,1948001
Qtd. Anos,41
Ano,Maxima
1941,68.8
1942,82.2
1943,89.3
1944,99.8
1945,93.4
1946,69.2
1947,105.3
1948,88.4
1949,76
1951,87.4
1952,66
1953,80.2
1954,57.4
1955,75
1956,313
1957,56
1958,76.8
1959,90.8
1960,66.4
1961,83.8
1962,98.3
1963,71.7
1964,50.8
1965,42
2000,85.1
2001,49.7
2002,90.6
2003,78.5
2004,99.5
2005,157
2006,72.3
2007,69.7
2008,90.5
2009,59.5
2010,95.3
2011,31.2
2012,39
2013,33.2
2014,20.8
2015,73
2016,40.8
