UF,MG
Cidade,RESPLENDOR
Nome Posto,RESPLENDOR - JUSANTE
Latitude,-19.343055555555555
Longitude,-41.24611111111111
Codigo,1941004
Qtd. Anos,79
Ano,Maxima
1941,64.3
1942,59.6
1943,43.4
1944,78.3
1945,70
1946,75
1947,93.2
1948,64.4
1949,108.4
1950,77.4
1951,45
1952,97
1953,70.5
1954,69.4
1955,59.2
1956,55.4
1957,66.4
1958,66.4
1959,65.4
1960,69.8
1961,82.2
1962,89.4
1963,46.1
1964,105.4
1965,85.6
1966,78.1
1967,65.2
1968,55.3
1969,62.5
1970,87.9
1971,88.7
1972,55.3
1973,126.3
1974,47.6
1975,93.8
1976,108.4
1977,104.4
1978,47.5
1979,68.4
1980,121
1981,134.5
1982,100.6
1983,63.6
1984,95.4
1985,59.4
1986,53.6
1987,63
1988,77
1989,54.2
1990,87
1991,55
1992,66
1993,78
1994,71.4
1995,67.8
1996,65.4
1997,114.4
1998,57.9
1999,116.7
2000,83
2001,92
2002,54.5
2003,167
2004,107
2005,60.2
2006,79.5
2007,56.3
2008,69.4
2009,89.1
2010,66.1
2011,77.6
2012,78.4
2013,131
2014,67
2015,44.9
2016,105.4
2017,50.8
2018,96.8
2019,49.5
