UF,MG
Cidade,MANHUACU
Nome Posto,DORES DO MANHUMIRIM
Latitude,-20.108055555555556
Longitude,-41.72833333333333
Codigo,2041008
Qtd. Anos,71
Ano,Maxima
1946,32
1947,75
1948,125
1949,64
1950,56
1951,65.4
1952,89.4
1953,100.3
1954,75
1955,42.4
1956,93
1957,50
1958,60
1959,51.6
1960,9
1964,7.9
1965,9.2
1966,38
1967,48
1968,56.5
1969,7.5
1970,82
1971,44.6
1972,73.2
1973,75
1974,70.2
1975,92.2
1976,70
1977,81.6
1978,67.8
1979,78.4
1980,83.6
1981,101.1
1982,70.6
1983,117
1984,79.2
1985,61
1986,47.2
1987,50.8
1988,47
1989,69.4
1990,67.2
1991,70.4
1992,61
1993,73.9
1994,73.8
1995,69
1996,80.2
1997,78.6
1998,56.6
1999,61.3
2000,75.3
2001,67.9
2002,69.1
2003,61.5
2004,98.5
2005,80.6
2006,50
2007,88.1
2008,97.2
2009,196
2010,78
2011,97.9
2012,57.6
2013,71.6
2014,90.8
2015,70
2016,99.1
2017,97.3
2018,84.2
2019,49.3
