UF,MG
Cidade,CAXAMBU
Nome Posto,CAXAMBU
Latitude,-21.989722222222223
Longitude,-44.93861111111111
Codigo,2144003
Qtd. Anos,78
Ano,Maxima
1941,120
1942,104.2
1943,163.2
1944,39
1945,78.4
1946,85
1947,112.4
1948,65.2
1950,998.4
1951,84.6
1952,96.8
1953,55.8
1954,88
1955,73.2
1956,59.8
1957,55
1958,57.6
1959,68.4
1960,74.4
1961,74.2
1962,94.2
1963,51
1964,100.4
1965,70.2
1966,75.6
1967,47.6
1968,83.4
1969,142.8
1970,76.4
1971,64
1972,73
1973,63
1974,45
1975,39
1976,41
1977,80.2
1978,70.3
1979,70.1
1980,71.5
1981,86.1
1982,61.1
1983,88.8
1984,65.1
1985,66.5
1986,75.2
1987,89.2
1988,38.2
1989,72.2
1990,67.3
1991,89.4
1992,36
1993,56
1994,37
1995,64.2
1996,151
1997,72
1998,46.8
1999,78
2000,226
2001,20.2
2002,82
2003,38.4
2004,72
2005,82
2006,102.1
2007,75
2008,90
2009,95
2010,65.8
2011,308
2012,70
2013,79
2014,53.7
2015,55.5
2016,79.7
2017,45.3
2018,49.3
2019,53.5
