UF,MG
Cidade,BETIM
Nome Posto,BETIM - COPASA
Latitude,-19.973333333333333
Longitude,-44.18805555555555
Codigo,1944055
Qtd. Anos,42
Ano,Maxima
1976,88
1977,86.2
1978,117
1979,93.1
1980,75.2
1981,91.1
1982,75.3
1983,84
1984,85
1985,95.3
1986,81.1
1987,93
1988,76
1989,72
1990,63.1
1991,103
1992,87
1993,80
1994,73
1995,140.4
1996,68.3
1997,145
1998,65.1
2001,52.4
2002,79
2003,77
2004,64.4
2005,69.5
2006,48.9
2007,40
2008,77
2009,106
2010,98.5
2011,77.5
2012,66.5
2013,71.2
2014,51
2015,95.8
2016,22.1
2017,55.9
2018,86.8
2019,67.4
