UF,MG
Cidade,GURINHATA
Nome Posto,GURINHATA
Latitude,-19.21333333333333
Longitude,-49.78805555555555
Codigo,1949003
Qtd. Anos,45
Ano,Maxima
1975,69
1976,105.7
1977,120.6
1978,94
1979,101.4
1980,101.4
1981,130.3
1982,107.1
1983,74
1984,89.2
1985,55
1986,70.2
1987,112
1988,62
1989,116
1990,75
1991,75
1992,59
1993,70
1994,75
1995,75
1996,81
1997,69.4
1998,67
1999,63
2000,97.9
2001,61.8
2002,90
2003,73
2004,98.9
2005,98.3
2006,59.7
2007,119.4
2008,105.4
2009,85.7
2010,57.3
2011,74
2012,74.9
2013,60.6
2014,60.7
2015,78.6
2016,63.4
2017,67.1
2018,49.4
2019,78.7
