UF,MG
Cidade,CARATINGA
Nome Posto,SANTO ANTONIO DO MANHUACU
Latitude,-19.678333333333335
Longitude,-41.836111111111116
Codigo,1941011
Qtd. Anos,50
Ano,Maxima
1970,111.5
1971,103
1972,89.2
1973,75
1974,45
1975,74
1976,123.2
1977,53.7
1978,120.6
1979,95
1980,84.2
1981,102
1982,107
1983,58.6
1984,82.4
1985,92.9
1986,75.8
1987,73.1
1988,78.3
1989,55
1990,64.1
1991,96.2
1992,66.8
1993,57
1994,74
1995,96
1996,90.2
1997,132.1
1998,106
1999,116.4
2000,80.5
2001,99.2
2002,59.3
2003,135.4
2004,129.6
2005,103.5
2006,113.1
2007,94.3
2008,69.6
2009,136.2
2010,55.8
2011,57.4
2012,68.1
2013,105.3
2014,60.6
2015,58.7
2016,119
2017,84.2
2018,82.8
2019,73.5
