UF,MG
Cidade,FORMIGA
Nome Posto,FORMIGA
Latitude,-20.45722222222222
Longitude,-45.41916666666666
Codigo,2045021
Qtd. Anos,56
Ano,Maxima
1924,55
1925,55.3
1926,73.5
1927,93.5
1928,64.5
1929,63.9
1930,63.3
1931,58.7
1932,47.7
1933,70.5
1934,59.5
1935,63.5
1936,66.9
1937,63.9
1938,53.5
1975,64.3
1976,58
1977,71
1978,47.2
1979,71
1980,105.3
1981,75.3
1982,130.3
1983,142.4
1984,100.2
1985,142.8
1986,55.4
1987,46.4
1988,90.3
1989,80.4
1990,87.3
1991,68.4
1992,149.6
1993,48.2
1994,67.2
1995,79.8
1996,78.6
1997,112.6
1998,105.6
1999,95.8
2000,78.2
2001,75.8
2002,74.6
2003,79.4
2004,88.2
2005,85
2006,50
2007,70.2
2008,154
2009,77.5
2010,59.5
2011,136.7
2012,98.3
2013,68.8
2014,35.2
2015,94
