UF,MG
Cidade,JACINTO
Nome Posto,JACINTO
Latitude,-16.13861111111111
Longitude,-40.290277777777774
Codigo,1640000
Qtd. Anos,72
Ano,Maxima
1948,60
1949,94
1950,38.4
1951,75.4
1952,58.6
1953,53.2
1954,50.4
1955,70
1956,64
1957,61
1958,106
1959,75
1960,85
1961,63
1962,125
1963,50
1964,150
1965,175
1966,40
1967,52
1968,51
1969,61.1
1970,114
1971,69
1972,75.2
1973,60.3
1974,74.2
1975,68.2
1976,67.2
1977,84
1978,45
1979,48.2
1980,46
1981,30.2
1982,97
1983,57
1984,75
1985,100.2
1986,61.6
1987,60.2
1988,57
1989,83.5
1990,50
1991,54.5
1992,75.5
1993,58
1994,19.8
1995,47.6
1996,110.6
1997,68
1998,78.8
1999,153.2
2000,53.2
2001,89
2002,96
2003,81.2
2004,81.5
2005,86.3
2006,76.7
2007,109.3
2008,42.8
2009,58.5
2010,138.6
2011,125.2
2012,84
2013,65
2014,87.6
2015,82.2
2016,50.8
2017,102
2018,94.2
2019,26.6
