UF,MG
Cidade,SACRAMENTO
Nome Posto,LAGOA
Latitude,-19.878611111111113
Longitude,-47.35472222222222
Codigo,1947008
Qtd. Anos,46
Ano,Maxima
1974,46
1975,81
1976,80
1977,90
1978,71
1979,85
1980,87.5
1981,58
1982,20.8
1983,38.8
1984,87.8
1985,78
1986,68.8
1987,68
1988,86.8
1989,84.2
1990,104.4
1991,66
1992,78.6
1993,65.3
1994,78.6
1995,96.2
1996,46.8
1997,144.4
1998,62.2
1999,67.6
2000,118.6
2001,56.6
2002,64
2003,88.9
2004,84.7
2005,56.7
2006,82.1
2007,92.6
2008,61.6
2009,73.3
2010,81.2
2011,63.5
2012,75
2013,77.7
2014,80.5
2015,86.4
2016,80.5
2017,93.5
2018,68.5
2019,60
